price,bdrms,sqrft
300,4,2438
370,3,2076
191,3,1374
195,3,1448
373,4,2514
466.27499,5,2754
332.5,3,2067
315,3,1731
206,3,1767
240,3,1890
285,4,2336
300,5,2634
405,3,3375
212,3,1899
265,3,2312
227.39999,4,1760
240,4,2000
285,3,1774
268,3,1376
310,4,1835
266,3,2048
270,3,2124
225,3,1768
150,4,1732
247,3,1440
275,3,1932
230,3,1932
343,3,2106
477.5,7,3529
350,4,2051
230,4,1573
335,4,2829
251,3,1630
235,4,1840
361,4,2066
190,4,1702
360,4,2750
575,5,3880
209.00101,4,1854
225,2,1421
246,3,1662
713.5,5,3331
248,4,1656
230,3,1171
375,5,2293
265,3,1764
313,3,2768
417.5,4,3733
253,3,1536
315,4,1638
264,3,1972
255,2,1478
210,3,1408
180,3,1812
250,3,1722
250,4,1780
209,4,1674
258,4,1850
289,3,1925
316,4,2343
225,3,1567
266,4,1664
310,6,1386
471.25,5,2617
335,4,2321
495,4,2638
279.5,4,1915
380,4,2589
325,4,2709
220,3,1587
215,3,1694
240,3,1536
725,5,3662
230,3,1736
306,2,2205
425,3,1502
318,4,1696
330,3,2186
246,4,1928
225,3,1294
111,4,1535
268.125,3,1980
244,4,2090
295,3,1837
236,3,1715
202.5,3,1574
219,2,1185
242,4,1774
